tid,sub_id,timestamp,action,type,customer,currency,amount,additional_amount,gross,fee,interchange,vat,taxcode,net,merchant_id,settlement_id
p54daadrsdj4,,2013-09-10 12:00:00,request,,token:F_+z/3,NOK,200,0,0,0,0,0,,0,acme,4xrf2z-2014-11-27-342
p54daadrsdj4,,2013-09-10 13:00:07,auth,credit,token:F_+z/3,NOK,200,0,0,0,0,0,,0,acme,4xrf2z-2014-11-27-342
p54daadrsdj4,,2013-09-10 13:00:07,capture,credit,token:F_+z/3,NOK,200,0,200,1.8,0.5,0,NO:2013,197.7,acme,4xrf2z-2014-11-27-342
p8a7sdyfax4d,,2013-09-10 13:00:00,request,,token:goBlo8,NOK,150,15,0,0,0,0,,0,acme,4xrf2z-2014-11-27-342
p8a7sdyfax4d,,2013-09-10 13:00:07,auth,credit,token:goBlo8,NOK,150,15,0,0,0,0,,0,acme,4xrf2z-2014-11-27-342
p8a7sdyfax4d,mycapt1,2013-09-10 13:04:04,capture,credit,token:goBlo8,NOK,50,10,60,1.8,0.6,0,NO:2013,57.6,acme,4xrf2z-2014-11-27-342
p8a7sdyfax4d,,2013-09-10 13:18:42,auth,credit,token:goBlo8,NOK,100,5,0,0,0,0,,0,acme,4xrf2z-2014-11-27-342
p8a7sdyfax4d,mycapt2,2013-09-10 13:20:37,capture,credit,token:goBlo8,NOK,50,0,50,1.8,0.5,0,NO:2013,47.7,acme,4xrf2z-2014-11-27-342
p8a7sdyfax4d,,2013-09-13 14:42:17,release,credit,token:goBlo8,NOK,50,5,0,0,0,0,,0,acme,4xrf2z-2014-11-27-342
p9g8qrtbnews,,2013-09-10 15:35:00,request,,token:qtVXn8,NOK,350,0,0,0,0,0,,0,acme,4xrf2z-2014-11-27-342
p9g8qrtbnews,,2013-09-10 15:36:00,abort,,token:qtVXn8,NOK,350,0,0,0,0,0,,0,acme,4xrf2z-2014-11-27-342
pa4kjhgw65yd,,2013-09-10 10:00:40,request,,token:34_szQ,NOK,77,0,0,0,0,0,,0,acme,4xrf2z-2014-11-27-342
pa4kjhgw65yd,,2013-09-10 10:00:49,fail,,token:34_szQ,NOK,77,0,0,0,0,0,,0,acme,4xrf2z-2014-11-27-342
